OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CHUANGXIN 1 (CX-1),2003-049B,2026-01-02T02:49:21.047808,14.48473408,.0012017,98.5247,259.8246,331.7626,28.2914,0,U,28058,999,17223,.17389E-3,.607E-5,0
YAMAL 202,2003-053A,2026-01-01T11:05:38.531328,1.00271386,.0006946,5.9219,72.9826,195.2319,162.8146,0,U,28089,999,8102,0,-.75E-6,0
UFO 11 (USA 174),2003-057A,2026-01-01T14:54:30.348576,1.00269996,.0004546,8.7764,34.6206,239.0251,126.7970,0,U,28117,999,8078,0,-.101E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-01-01T10:53:47.153472,1.92678338,.0002891,54.9251,29.4434,297.0069,63.0195,0,U,28129,999,16125,0,-.63E-6,0
USA 176 (DSP 22),2004-004A,2026-01-02T02:04:22.300608,1.00270034,.0003762,11.8351,27.2745,244.5308,124.5269,0,U,28158,999,3127,0,-.16E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-01-01T19:58:31.961568,1.00274879,.00059723,5.6209,74.0543,211.0880,176.9996,0,U,28184,999,5067,0,.42E-6,0
EUTELSAT 7A,2004-008A,2026-01-01T19:01:22.437120,1.00270134,.00014051,5.4080,74.0184,226.8814,306.6708,0,U,28187,999,7968,0,.107E-5,0
NAVSTAR 54 (USA 177),2004-009A,2025-12-31T00:57:39.805920,2.00559962,.01087074,54.9691,282.4811,167.9036,317.8170,0,U,28190,999,15957,0,-.33E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-01-02T03:42:17.267328,15.28783600,.0005246,97.8909,69.9029,240.4141,119.6575,0,U,28220,999,18568,.86887E-3,.24289E-3,0
AMC-11,2004-017A,2026-01-01T22:34:54.484896,1.00270613,.00033497,0.0159,25.0616,262.8965,41.2536,0,U,28252,999,7919,0,-.4E-6,0
INTELSAT 10-02,2004-022A,2026-01-02T00:48:59.522400,1.00270955,.0001772,0.0151,70.2997,248.8304,153.8226,0,U,28358,999,7889,0,-.2E-7,0
NAVSTAR 55 (USA 178),2004-023A,2026-01-02T04:28:21.756288,2.00573705,.0157313,54.7475,93.4219,296.5254,117.5502,0,U,28361,999,15771,0,-.37E-6,0
APRIZESAT 2,2004-025A,2026-01-02T01:17:46.845888,14.37941079,.0106401,98.0826,177.5894,32.2450,328.5185,0,U,28366,999,12776,.12163E-3,.35E-5,0
SAUDICOMSAT 1,2004-025D,2026-01-01T23:38:39.892416,14.55301480,.0032382,98.5780,7.6356,170.5964,189.5845,0,U,28369,999,13995,.19946E-3,.821E-5,0
SAUDICOMSAT 2,2004-025E,2026-01-01T22:48:51.253344,14.49834709,.0056337,98.6665,9.4842,43.9606,316.6048,0,U,28370,999,13601,.22148E-3,.823E-5,0
